motif	representative_motif
M069_0.6	M136_0.6
M136_0.6	M136_0.6
M317_0.6	M136_0.6
M318_0.6	M136_0.6
M319_0.6	M136_0.6
M350_0.6	M350_0.6
M089_0.6	M089_0.6
M169_0.6	M089_0.6
M026_0.6	M026_0.6
M161_0.6	M026_0.6
M260_0.6	M026_0.6
M227_0.6	M227_0.6
M228_0.6	M227_0.6
M261_0.6	M261_0.6
M120_0.6	M120_0.6
M122_0.6	M122_0.6
M037_0.6	M037_0.6
M320_0.6	M037_0.6
M140_0.6	M140_0.6
M147_0.6	M140_0.6
M065_0.6	M103_0.6
M102_0.6	M103_0.6
M103_0.6	M103_0.6
M035_0.6	M035_0.6
M070_0.6	M035_0.6
M022_0.6	M023_0.6
M023_0.6	M023_0.6
M271_0.6	M023_0.6
M017_0.6	M159_0.6
M118_0.6	M159_0.6
M159_0.6	M159_0.6
M231_0.6	M159_0.6
M297_0.6	M159_0.6
M298_0.6	M159_0.6
M053_0.6	M053_0.6
M145_0.6	M053_0.6
M044_0.6	M050_0.6
M050_0.6	M050_0.6
M054_0.6	M050_0.6
M109_0.6	M050_0.6
M256_0.6	M256_0.6
M347_0.6	M256_0.6
M290_0.6	M290_0.6
M024_0.6	M024_0.6
M141_0.6	M024_0.6
M307_0.6	M024_0.6
M036_0.6	M036_0.6
M082_0.6	M254_0.6
M250_0.6	M254_0.6
M254_0.6	M254_0.6
M013_0.6	M167_0.6
M040_0.6	M167_0.6
M167_0.6	M167_0.6
M210_0.6	M167_0.6
M168_0.6	M168_0.6
M083_0.6	M083_0.6
M273_0.6	M083_0.6
M246_0.6	M246_0.6
M247_0.6	M246_0.6
M001_0.6	M001_0.6
M085_0.6	M001_0.6
M033_0.6	M176_0.6
M160_0.6	M176_0.6
M176_0.6	M176_0.6
M234_0.6	M234_0.6
M235_0.6	M234_0.6
M055_0.6	M164_0.6
M073_0.6	M164_0.6
M143_0.6	M164_0.6
M164_0.6	M164_0.6
M353_0.6	M164_0.6
M004_0.6	M157_0.6
M157_0.6	M157_0.6
M229_0.6	M157_0.6
M043_0.6	M207_0.6
M177_0.6	M207_0.6
M188_0.6	M207_0.6
M207_0.6	M207_0.6
M211_0.6	M207_0.6
M002_0.6	M071_0.6
M071_0.6	M071_0.6
M152_0.6	M071_0.6
M056_0.6	M081_0.6
M081_0.6	M081_0.6
M111_0.6	M081_0.6
M121_0.6	M081_0.6
M316_0.6	M316_0.6
M346_0.6	M316_0.6
M019_0.6	M019_0.6
M088_0.6	M019_0.6
M148_0.6	M148_0.6
M269_0.6	M148_0.6
M330_0.6	M330_0.6
M154_0.6	M154_0.6
M051_0.6	M051_0.6
M031_0.6	M031_0.6
M232_0.6	M031_0.6
M328_0.6	M328_0.6
M329_0.6	M328_0.6
M108_0.6	M108_0.6
M112_0.6	M108_0.6
M124_0.6	M108_0.6
M127_0.6	M108_0.6
M052_0.6	M052_0.6
M068_0.6	M052_0.6
M325_0.6	M325_0.6
M344_0.6	M325_0.6
M016_0.6	M020_0.6
M020_0.6	M020_0.6
M209_0.6	M020_0.6
M151_0.6	M151_0.6
M153_0.6	M151_0.6
M046_0.6	M262_0.6
M142_0.6	M262_0.6
M262_0.6	M262_0.6
M061_0.6	M061_0.6
M348_0.6	M348_0.6
M352_0.6	M348_0.6
M012_0.6	M012_0.6
M077_0.6	M012_0.6
M170_0.6	M170_0.6
M175_0.6	M170_0.6
M240_0.6	M170_0.6
M048_0.6	M048_0.6
M349_0.6	M048_0.6
M104_0.6	M104_0.6
M105_0.6	M104_0.6
M126_0.6	M104_0.6
M072_0.6	M106_0.6
M106_0.6	M106_0.6
M272_0.6	M106_0.6
M292_0.6	M106_0.6
M333_0.6	M106_0.6
M296_0.6	M354_0.6
M345_0.6	M354_0.6
M354_0.6	M354_0.6
M047_0.6	M047_0.6
M027_0.6	M027_0.6
M163_0.6	M027_0.6
M079_0.6	M079_0.6
M155_0.6	M079_0.6
M032_0.6	M032_0.6
M245_0.6	M245_0.6
M334_0.6	M245_0.6
M049_0.6	M049_0.6
M178_0.6	M049_0.6
M238_0.6	M049_0.6
M195_0.6	M243_0.6
M236_0.6	M243_0.6
M242_0.6	M243_0.6
M243_0.6	M243_0.6
M021_0.6	M021_0.6
M074_0.6	M021_0.6
M205_0.6	M021_0.6
M291_0.6	M351_0.6
M323_0.6	M351_0.6
M351_0.6	M351_0.6
M201_0.6	M201_0.6
M025_0.6	M158_0.6
M075_0.6	M158_0.6
M149_0.6	M158_0.6
M150_0.6	M158_0.6
M156_0.6	M158_0.6
M158_0.6	M158_0.6
M042_0.6	M062_0.6
M062_0.6	M062_0.6
M144_0.6	M062_0.6
M146_0.6	M062_0.6
M162_0.6	M062_0.6
M275_0.6	M062_0.6
M086_0.6	M086_0.6
M087_0.6	M086_0.6
M274_0.6	M274_0.6
M332_0.6	M274_0.6
M331_0.6	M331_0.6
